,Unnamed: 0,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
0,0.0,IndiGo,6E-171,"Wed, Feb 16",New Delhi,Mumbai,2h 05m,Non Stop,"2,410"
1,1.0,IndiGo,6E-6202,"Wed, Feb 16",Mumbai,Mumbai,2h 05m,Non Stop,"2,410"
2,2.0,Air Asia,I5-764,"Wed, Feb 16",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
3,3.0,IndiGo,6E-2054,"Wed, Feb 16",Mumbai,Mumbai,2h 10m,Non Stop,"2,410"
4,4.0,IndiGo,6E-5001,"Wed, Feb 16",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
5,5.0,IndiGo,6E-5329,"Wed, Feb 16",Mumbai,Mumbai,2h 10m,Non Stop,"2,410"
6,6.0,IndiGo,6E-6278,"Wed, Feb 16",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
7,7.0,IndiGo,6E-218,"Wed, Feb 16",Mumbai,Mumbai,2h 10m,Non Stop,"2,410"
8,8.0,IndiGo,6E-5328,"Wed, Feb 16",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
9,9.0,Air Asia,I5-482,"Wed, Feb 16",Mumbai,Mumbai,2h 15m,Non Stop,"2,410"
10,10.0,IndiGo,6E-2331/905,"Sun, Mar 6",New Delhi,Goa,7h 10m,1 Stop,"3,288"
11,11.0,IndiGo,6E-2247/793,"Sun, Mar 6",Mumbai,Goa,6h 25m,1 Stop,"3,577"
12,12.0,IndiGo,6E-2005/793,"Sun, Mar 6",New Delhi,Goa,7h 45m,1 Stop,"3,577"
13,13.0,Air Asia,I5-784/1782,"Sun, Mar 6",Mumbai,Goa,5h 55m,1 Stop,"3,706"
14,14.0,Air Asia,I5-1529/972,"Sun, Mar 6",New Delhi,Goa,10h 00m,2 Stop(s),"3,706"
15,15.0,Air Asia,I5-740/972,"Sun, Mar 6",Mumbai,Goa,11h 35m,2 Stop(s),"3,706"
16,16.0,Air Asia,I5-747/818,"Sun, Mar 6",New Delhi,Goa,12h 00m,1 Stop,"3,706"
17,17.0,Air Asia,I5-1529/1782,"Sun, Mar 6",Mumbai,Goa,12h 25m,1 Stop,"3,706"
18,18.0,Air Asia,I5-740/1782,"Sun, Mar 6",New Delhi,Goa,14h 00m,1 Stop,"3,706"
19,19.0,Air Asia,I5-784/818,"Sun, Mar 6",Mumbai,Goa,14h 55m,1 Stop,"3,706"
20,20.0,Air Asia,I5-740/1530,"Wed, Feb 16",New Delhi,Chennai,7h 05m,1 Stop,"1,998"
21,21.0,Air Asia,I5-740/2461,"Wed, Feb 16",Goa,Chennai,9h 25m,1 Stop,"1,998"
22,22.0,Air Asia,I5-710/1531,"Wed, Feb 16",New Delhi,Chennai,9h 30m,1 Stop,"1,998"
